Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q11,Q11a,Q11b,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11
25-35,she/hers,White,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-45,she/hers,White,Yes,Yes,Unsure,Unsure,10-15 years,5-10 years,I am open about my illness/disability with everyone,,,,,,,As I built a personal relationship with colleagues,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-45,she/hers,White,Yes,Yes,No,No,Less than 5 years,2-5 years,"Colleagues I consider close friends,My direct supervisor (if not library director)","As I built a personal relationship with colleagues,When requesting accommodations",,"As I built a personal relationship with colleagues,When requesting accommodations",,,,,Yes,Yes,"Work schedule (change in hours, work from home, etc)",Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Disagree        ,Disagree        ,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,N/A,Strongly agree,Strongly agree,Strongly agree,N/A,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
45-55,she/hers,White,Yes,Yes,Yes,Yes,10-15 years,5-10 years,"No one,Library director ",,,,,Upon receiving a diagnosis or beginning treatment,,,Unsure,,,Agree,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree        ,Agree        ,Neither agree nor disagree      ,Agree        ,Agree        ,Agree        ,Agree        ,Agree        ,Agree        ,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,N/A,N/A,N/A,N/A,Agree,Agree,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-35,she/hers,Hispanic/Latinx,Unsure,Unsure,Yes,Yes,Less than 5 years,Less than 2 years,"Colleagues I work with regularly,My direct supervisor (if not library director)",,As I built a personal relationship with colleagues,As I built a personal relationship with colleagues,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-55,he/his,White,Yes,Yes,Unsure,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-45,she/hers,"Asian,White",Yes,Yes,Unsure,Yes,15-20 years,5-10 years,"Colleagues I consider close friends,Colleagues I work with regularly",As I built a personal relationship with colleagues,As I built a personal relationship with colleagues,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-35,they/them,White,No,No,Yes,Yes,5-10 years,Less than 2 years,"Colleagues I consider close friends,My direct supervisor (if not library director)",As I built a personal relationship with colleagues,,As I built a personal relationship with colleagues,,,,,No,,,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree        ,Strongly agree        ,Agree        ,Agree        ,Agree        ,Agree        ,Disagree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,,,,,,,,,,,,,,,,,,,,,,
25 or younger,they/them,White,Unsure,Unsure,Unsure,Unsure,Less than 5 years,Less than 2 years,Colleagues I work with regularly,,As I built a personal relationship with colleagues,,,,,,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-45,she/hers,White,No,No,Yes,Yes,5-10 years,Less than 2 years,No one,,,,,,,,Unsure,,,Agree,Agree,Strongly disagree,Disagree,Disagree,N/A,N/A,Strongly agree        ,Strongly agree        ,Agree        ,Agree        ,Strongly agree        ,Agree        ,Neither agree nor disagree      ,Agree        ,Agree        ,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-35,she/hers,White,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-45,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,Less than 2 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director)","As I built a personal relationship with colleagues,Other","When my illness/disability impacted my work,As I built a personal relationship with colleagues","When my illness/disability impacted my work,As I built a personal relationship with colleagues",,,,,No,,,Agree,Agree,Agree,Agree,Strongly disagree,Agree,N/A,Neither agree nor disagree      ,Neither agree nor disagree      ,N/A,Strongly disagree        ,Strongly disagree        ,Agree        ,Neither agree nor disagree      ,Agree        ,Strongly agree        ,,,,,,,,,,,,,,,,,,,,,,
25-35,he/his,White,Yes,Yes,Unsure,Unsure,Less than 5 years,Less than 2 years,No one,,,,,,,,No,,,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Disagree,Agree        ,Strongly agree        ,N/A,N/A,N/A,N/A,N/A,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,N/A,N/A,N/A,Agree,Strongly agree,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-55,she/hers,White,Yes,Yes,Unsure,Unsure,20+ years,10-15 years,"Colleagues I consider close friends,Colleagues I work with regularly,Library director ","Upon receiving a diagnosis or beginning treatment,As I built a personal relationship with colleagues",As I built a personal relationship with colleagues,,,Upon receiving a diagnosis or beginning treatment,,,No,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Neither agree nor disagree      ,Agree        ,N/A,N/A,N/A,Neither agree nor disagree      ,Neither agree nor disagree      ,Disagree        ,Agree        ,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,N/A,N/A,N/A,N/A,Neither agree nor disagree,Neither agree nor disagree,N/A,N/A,N/A,N/A
55 or older,she/hers,White,Yes,Yes,Yes,Yes,10-15 years,Less than 2 years,No one,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-45,he/his,"White,Other",No,,,,10-15 years,5-10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-45,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,5-10 years,No one,,,,,,,,Yes,Yes,"Work schedule (change in hours, work from home, etc)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Agree        ,Agree        ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Agree        ,Agree        ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
35-45,she/hers,White,Yes,Yes,Yes,Unsure,15-20 years,15-20 years,I am open about my illness/disability with everyone,,,,,,,Once I began working,Yes,Yes,"Work environment (furniture, office location, etc.),Work schedule (change in hours, work from home, etc)",Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree        ,Agree        ,Agree        ,Disagree        ,Disagree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Agree        ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
35-45,she/hers,White,Yes,Yes,No,,10-15 years,5-10 years,"Colleagues I consider close friends,My direct supervisor (if not library director)",As I built a personal relationship with colleagues,,Once I began working,,,,,Yes,Yes,"Work environment (furniture, office location, etc.),Job duties (shifting from in-person to online instruction, front end to back end duties, etc).,Work schedule (change in hours, work from home, etc)",Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Disagree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Neither agree nor disagree      ,Agree        ,Neither agree nor disagree      ,Agree        ,Agree        ,Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree
35-45,she/hers,White,Yes,Yes,Yes,Yes,10-15 years,Less than 2 years,"My direct supervisor (if not library director),Other library administrator/manager that I do not report to directly,Library director ,Human Resources/disability office",,,When requesting accommodations,Other,Other,When requesting accommodations,,Yes,No,,N/A,N/A,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree        ,Strongly agree        ,Agree        ,Disagree        ,Agree        ,Neither agree nor disagree      ,Strongly disagree        ,Agree        ,Disagree        ,Disagree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-55,she/hers,White,No,,Yes,Yes,20+ years,15-20 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Human Resources/disability office",As I built a personal relationship with colleagues,As I built a personal relationship with colleagues,As I built a personal relationship with colleagues,,,When requesting accommodations,,Yes,Yes,"Work environment (furniture, office location, etc.)",Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Agree        ,Agree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,N/A,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
45-55,she/hers,White,Yes,Yes,No,No,10-15 years,10-15 years,"Colleagues I consider close friends,My direct supervisor (if not library director)","When my illness/disability impacted my work,As I built a personal relationship with colleagues",,When my illness/disability impacted my work,,,,,No,,,Strongly agree,Strongly agree,N/A,N/A,N/A,N/A,N/A,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Strongly disagree        ,Neither agree nor disagree      ,Disagree        ,Disagree        ,Agree        ,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,N/A,N/A,N/A,N/A,Disagree,Disagree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Unsure,Yes,Less than 5 years,Less than 2 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director)",Upon receiving a diagnosis or beginning treatment,"Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,As I built a personal relationship with colleagues","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",,,,,Yes,Unsure,"Work environment (furniture, office location, etc.),Work schedule (change in hours, work from home, etc)",Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree        ,Agree        ,Disagree        ,Disagree        ,Neither agree nor disagree      ,Strongly agree        ,Agree        ,Agree        ,Strongly agree        ,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,,Agree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-35,she/hers,White,Yes,Yes,No,,5-10 years,5-10 years,Colleagues I consider close friends,"As I built a personal relationship with colleagues,Other",,,,,,,No,,,N/A,N/A,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Disagree        ,Disagree        ,Strongly disagree        ,N/A,N/A,N/A,N/A,Strongly agree        ,Agree        ,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,N/A,N/A,N/A,Disagree,Strongly agree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,No,No,Less than 5 years,2-5 years,I am open about my illness/disability with everyone,,,,,,,"Once I began working,As I built a personal relationship with colleagues",Yes,Yes,"Job duties (shifting from in-person to online instruction, front end to back end duties, etc).,Work schedule (change in hours, work from home, etc)",Agree,Agree,N/A,Disagree,Disagree,Agree,Disagree,Disagree        ,Agree        ,Agree        ,Disagree        ,Disagree        ,Agree        ,Agree        ,Agree        ,Agree        ,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-35,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,Less than 2 years,"Colleagues I consider close friends,Library director ",As I built a personal relationship with colleagues,,,,Once I began working,,,Unsure,,,Strongly agree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree        ,Agree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Agree        ,Neither agree nor disagree      ,Agree        ,Agree        ,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly disagree,N/A,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
55 or older,he/his,White,Yes,Yes,No,Yes,20+ years,5-10 years,No one,,,,,,,,Unsure,,,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Disagree        ,Agree        ,Strongly disagree        ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
35-45,Other,"Native American,White,Other",Yes,Yes,Yes,Yes,Less than 5 years,2-5 years,Colleagues I work with regularly,,"Once I began working,When my illness/disability impacted my work,As I built a personal relationship with colleagues",,,,,,Unsure,,,Strongly agree,Strongly agree,Agree,N/A,N/A,N/A,N/A,Neither agree nor disagree      ,Neither agree nor disagree      ,Strongly agree        ,Agree        ,Disagree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Agree        ,Disagree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,N/A,N/A,N/A,N/A,N/A,N/A
45-55,she/hers,White,No,No,Yes,Yes,20+ years,15-20 years,Colleagues I consider close friends,When my illness/disability impacted my work,,,,,,,No,,,N/A,Disagree,Agree,Disagree,N/A,N/A,Strongly disagree,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,N/A,Disagree        ,N/A,N/A,Disagree        ,Agree        ,Agree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35-45,she/hers,Asian,Unsure,Unsure,Yes,Yes,10-15 years,10-15 years,No one,,,,,,,,No,,,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree        ,Strongly agree        ,Strongly disagree        ,N/A,Strongly disagree        ,N/A,N/A,Disagree        ,Agree        ,Agree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,N/A,N/A,N/A,N/A,Strongly disagree,Disagree,N/A,N/A,N/A,N/A
35-45,they/them,White,Yes,Yes,Yes,Yes,5-10 years,Less than 2 years,Human Resources/disability office,,,,,,When requesting accommodations,,Yes,Yes,"Work schedule (change in hours, work from home, etc)",Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree        ,Agree        ,Agree        ,Agree        ,Strongly agree        ,Agree        ,Disagree        ,Disagree        ,Strongly disagree        ,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree
45-55,he/his,White,Unsure,Yes,Unsure,Yes,10-15 years,Less than 2 years,No one,,,,,,,,No,,,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Strongly disagree        ,Neither agree nor disagree      ,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,N/A,N/A
55 or older,she/hers,White,Yes,Yes,Yes,Yes,20+ years,20+ years,"Colleagues I work with regularly,Library director ,I am open about my illness/disability with everyone",,Upon receiving a diagnosis or beginning treatment,,,Upon receiving a diagnosis or beginning treatment,,Upon receiving a diagnosis or beginning treatment,No,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Neither agree nor disagree      ,Agree        ,N/A,Strongly disagree        ,Agree        ,Agree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,N/A,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Yes,Yes,10-15 years,2-5 years,Colleagues I consider close friends,When my illness/disability impacted my work,,,,,,,No,,,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly agree        ,Strongly agree        ,Disagree        ,Agree        ,Agree        ,N/A,N/A,Agree        ,Agree        ,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,N/A,N/A,N/A,N/A,Strongly agree,Strongly agree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Yes,Yes,10-15 years,2-5 years,"Colleagues I consider close friends,Colleagues I work with regularly,Library director ",As I built a personal relationship with colleagues,As I built a personal relationship with colleagues,,,As I built a personal relationship with colleagues,,,Yes,Yes,"Work environment (furniture, office location, etc.)",Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Agree        ,Agree        ,Strongly agree        ,Disagree        ,Disagree        ,Agree        ,Disagree        ,Disagree        ,Disagree        ,Disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
25-35,Other,White,Yes,Yes,Yes,Yes,Less than 5 years,Less than 2 years,"Colleagues I consider close friends,My direct supervisor (if not library director),Library director ",As I built a personal relationship with colleagues,,Once I began working,,"During the interview/hiring process,Once I began working",,,No,,,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Disagree,N/A,N/A,Neither agree nor disagree      ,Neither agree nor disagree      ,Strongly disagree        ,Strongly disagree        ,Disagree        ,Strongly agree        ,Agree        ,Neither agree nor disagree      ,Agree        ,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,N/A,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,N/A,N/A,N/A,Agree,Neither agree nor disagree,N/A,N/A,N/A,N/A
55 or older,she/hers,White,,Yes,,Yes,10-15 years,5-10 years,Colleagues I consider close friends,"Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",,,,,,,No,,,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree        ,Disagree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Disagree        ,Disagree        ,Agree        ,Disagree        ,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,,,,,,,,,,,
45-55,she/hers,White,Yes,Yes,Yes,Yes,10-15 years,2-5 years,Colleagues I consider close friends,As I built a personal relationship with colleagues,,,,,,,No,,,N/A,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree        ,Strongly agree        ,Agree        ,Neither agree nor disagree      ,Strongly agree        ,Agree        ,Neither agree nor disagree      ,Agree        ,Agree        ,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
45-55,he/his,White,No,No,Yes,Yes,20+ years,2-5 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),I am open about my illness/disability with everyone","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,As I built a personal relationship with colleagues","When my illness/disability impacted my work,As I built a personal relationship with colleagues","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,As I built a personal relationship with colleagues",,,,When my illness/disability impacted my work,No,,,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,N/A,Neither agree nor disagree      ,Disagree        ,Neither agree nor disagree      ,Agree        ,Agree        ,Strongly agree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,N/A,N/A,N/A,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
25-35,she/hers,White,Unsure,Yes,Unsure,Yes,5-10 years,2-5 years,Colleagues I work with regularly,,"Once I began working,As I built a personal relationship with colleagues",,,,,,No,,,N/A,N/A,Disagree,Disagree,Disagree,N/A,Disagree,Disagree        ,Agree        ,Neither agree nor disagree      ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,N/A,N/A,N/A,N/A,N/A,Disagree,Disagree,Disagree,Disagree
55 or older,she/hers,White,No,Unsure,Yes,Yes,20+ years,20+ years,I am open about my illness/disability with everyone,,,,,,,During the interview/hiring process,Yes,Yes,"Work environment (furniture, office location, etc.)",Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree        ,Disagree        ,Agree        ,Agree        ,Agree        ,Agree        ,Agree        ,Disagree        ,Disagree        ,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
25-35,she/hers,White,Yes,No,Yes,Yes,Less than 5 years,Less than 2 years,"Colleagues I consider close friends,My direct supervisor (if not library director),Human Resources/disability office","Once I began working,When my illness/disability impacted my work,When requesting accommodations",,"Once I began working,When my illness/disability impacted my work,When requesting accommodations",,,"When my illness/disability impacted my work,When requesting accommodations",,Yes,Yes,"Work environment (furniture, office location, etc.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Agree        ,Strongly agree        ,Neither agree nor disagree      ,N/A,N/A,N/A,N/A,N/A,N/A,Disagree,Neither agree nor disagree,N/A,N/A,Strongly agree,Disagree,Agree,Agree,Strongly disagree,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55 or older,she/hers,White,Yes,Yes,Yes,Yes,20+ years,10-15 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),I am open about my illness/disability with everyone","When my illness/disability impacted my work,As I built a personal relationship with colleagues","When my illness/disability impacted my work,As I built a personal relationship with colleagues","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,As I built a personal relationship with colleagues",,,,As I built a personal relationship with colleagues,Yes,Yes,"Work environment (furniture, office location, etc.),Job duties (shifting from in-person to online instruction, front end to back end duties, etc).,Work schedule (change in hours, work from home, etc)",Neither agree nor disagree,Agree,N/A,Neither agree nor disagree,N/A,Strongly agree,Agree,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Agree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Neither agree nor disagree      ,Disagree        ,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree
